sample;year;group;x;y;Cr;Cd;Ni;Pb;Sn;Zn;Cu;Fe;Al
39;2020;Crop;-48,020111;-18,514556;0;0;0;5,501445209;145,692;557,8880892;38,42788318;179,45;194,7755865
15;2020;Crop;-48,020111;-18,514556;1,802334461;5,075055877;0;2,947138779;90,6429;84,64773244;4,388173821;64,31;135,7902364
28;2020;Crop;-47,976639;-18,808944;3,092379593;0,242863164;0;2,450330479;105,015;90,89224738;4,361155102;147,16;183,1242832
21;2020;Savanna;-48,388108;-19,173616;4,046172132;0,978975816;1,607116604;9,225909453;152,0858;128,3520333;12,1248158;307,54;516,370401
44;2020;Savanna;-48,388108;-19,173616;3,286340165;13,26337484;28,54385442;32,78124729;118,1385;255,3667287;18,87101343;257,37;256,879145
27;2020;Crop;-47,976639;-18,808944;2,858595854;15,39523728;0;1,321140909;107,5108;95,7389094;4,185662055;144,35;119,6084032
22;2020;Savanna;-48,388108;-19,173616;3,826668295;0;0;0;125,8908;116,9437834;17,72991715;423,52;297,6846801
34;2020;Savanna;-48,388108;-19,173616;5,741005793;11,10217236;6,978846358;8,716686342;198,5339;54,99703149;37,34720322;244,52;179,7473878
46;2021;Savanna;-48,294078;-18,983601;0,356825176;0;0;0,141525908;88,6058;616,548186;27,58982648;109,96;135,7235669
32;2021;Savanna;-48,091391;-19,039166;3,544453303;13,62525739;10,96032797;3,457598173;128,6515;118,785457;7,832106938;NA;303,5194296
59;2021;Savanna;-48,091391;-19,039166;0,020402379;0;0;0;125,6971;671,2084004;90,34314832;205,53;294,9690338
62;2021;Savanna;-48,091391;-19,039166;3,292212207;0;11,68211024;0;125,981;86,3862409;27,59924907;120,49;251,6865399
68;2021;Savanna;-48,091391;-19,039166;2,897126476;0;0;3,819995394;82,9789;225,0087724;18,96829512;1026,26;1348,180463
67;2021;Savanna;-48,091391;-19,039166;3,942892812;26,556171;0;0;128,604;127,5474907;36,51866766;892,04;239,6941923
80;2022;Savanna;-48,388108;-19,173616;2,983060336;6,920731244;0;1,030161434;114,6641;92,874187;5,059347369;77,6;150,4762648
82;2022;Crop;-48,247096;-18,652843;0,001467778;0;0;6,54569729;127,9648331;441,7425912;13,83844906;22,08;151,8892474
83;2022;Savanna;-48,388108;-19,173616;3,196760464;0;1,243879079;0;87,3612;31,26235861;140,579518;115,87;122,2541071
